,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
185,Monte Alegre - Monte Belo,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
186,Monte Alegre,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
187,Monterey,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
188,Monteverde,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
189,Moreno,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
190,Nardini,671878346.8742664,0.0,0.0,128916688806.41238,94471978878.75793,144451.2,144451.2,0.0,0.0,0.0,0.0,0.0,2895701.487630476,40298.51236952422,356171.2829785485,212800.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,775136529.4434745,4000000,0
191,Nova Era,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
192,Nova Gália,325398872.0,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,121646056.32,2000000,0
193,Nova Londrina - Ex Copagra,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
194,Nova Moreno,488098308.0,0.0,0.0,128916688806.41238,94471978878.75793,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,182469084.48000002,3000000,0
195,Nova Produtiva,325398872.0,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,121646056.32,2000000,0
196,Novo Milênio - Un. Lambari,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
197,Novo Milênio - Un. Mirassol,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
198,Ouroeste,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
199,Pagrisa,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
200,Paineiras,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
201,Panorama,503908760.15569973,0.0,0.0,128916688806.41238,94471978878.75793,108338.4,108338.4,0.0,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,581352397.0826056,3000000,0
202,Paraiso,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
203,Pederneiras,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
204,Pedro Afonso - Bunge,488098308.0,0.0,0.0,128916688806.41238,94471978878.75793,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,182469084.48000002,3000000,0
205,Penedo (Paisa),162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
